V1;V2
pdl_29366.csv;31-jul-18
pdl_29367.csv;31-jul-18
pdl_29370.csv;01-ago-18
pdl_29371.csv;01-ago-18
pdl_29374.csv;02-ago-18
pdl_29375.csv;02-ago-18
pdl_29376.csv;02-ago-18
pdl_29377.csv;02-ago-18
pdl_29378.csv;02-ago-18
pdl_29379.csv;02-ago-18
pdl_29382.csv;07-ago-18
pdl_29383.csv;07-ago-18
pdl_29384.csv;07-ago-18
pdl_29385.csv;07-ago-18
pdl_29386.csv;07-ago-18
pdl_29387.csv;07-ago-18
pdl_29388.csv;07-ago-18
pdl_29392.csv;08-ago-18
pdl_29393.csv;08-ago-18
pdl_29394.csv;08-ago-18
pdl_29395.csv;08-ago-18
pdl_29396.csv;08-ago-18
pdl_29397.csv;08-ago-18
pdl_29398.csv;08-ago-18
pdl_29399.csv;08-ago-18
pdl_29402.csv;09-ago-18
pdl_29403.csv;09-ago-18
pdl_29404.csv;09-ago-18
pdl_29405.csv;09-ago-18
pdl_29406.csv;09-ago-18
pdl_29407.csv;09-ago-18
pdl_29408.csv;09-ago-18
pdl_29409.csv;09-ago-18
pdl_29410.csv;09-ago-18
pdl_29411.csv;09-ago-18
pdl_29412.csv;09-ago-18
pdl_29413.csv;09-ago-18
pdl_29415.csv;09-ago-18
pdl_29416.csv;09-ago-18
pdl_29417.csv;09-ago-18
pdl_29418.csv;09-ago-18
pdl_29419.csv;09-ago-18
pdl_29424.csv;13-ago-18
pdl_29425.csv;13-ago-18
pdl_29426.csv;13-ago-18
pdl_29437.csv;13-ago-18
pdl_29438.csv;13-ago-18
pdl_29439.csv;13-ago-18
pdl_29440.csv;13-ago-18
pdl_29443.csv;14-ago-18
pdl_29444.csv;14-ago-18
pdl_29445.csv;14-ago-18
pdl_29446.csv;14-ago-18
pdl_29447.csv;14-ago-18
pdl_29448.csv;14-ago-18
pdl_29451.csv;21-ago-18
pdl_29452.csv;21-ago-18
pdl_29453.csv;21-ago-18
pdl_29454.csv;21-ago-18
pdl_29458.csv;21-ago-18
pdl_29461.csv;22-ago-18
pdl_29462.csv;22-ago-18
pdl_29463.csv;22-ago-18
pdl_29464.csv;22-ago-18
pdl_29465.csv;22-ago-18
pdl_29466.csv;22-ago-18
pdl_29467.csv;22-ago-18
pdl_29468.csv;22-ago-18
pdl_29471.csv;23-ago-18
pdl_29472.csv;23-ago-18
pdl_29473.csv;23-ago-18
pdl_29474.csv;23-ago-18
pdl_29475.csv;23-ago-18
pdl_29476.csv;23-ago-18
